classifier,held_out_trial,score,f1,bacc
log_reg,17.0,0.8385922330097088,0.8313122576748437,0.8377900617593285
rf,17.0,0.7342233009708737,0.6589370840332807,0.7330124948800854
lda,17.0,1.0,1.0,1.0
log_reg,20.0,0.9060402684563759,0.8995035536243965,0.9007973944294698
rf,20.0,0.7941834451901566,0.7360402299009536,0.7831895777178797
lda,20.0,0.9791154791154791,0.9776935072786354,0.9776315789473684
log_reg,21.0,0.8725910064239829,0.8702603089341583,0.8685084541062802
rf,21.0,0.8008565310492506,0.7518680061096472,0.7791364734299516
lda,21.0,0.8688524590163934,0.854421949058098,0.8550666172905652
log_reg,22.0,0.7517899761336515,0.7575718274904804,0.7550214810877846
rf,22.0,0.7505966587112172,0.7575274417552508,0.7541190539463195
lda,22.0,0.8126649076517151,0.813348344656488,0.8150722603507667
log_reg,23.0,0.7317073170731707,0.7034976839178307,0.7195960486347347
rf,23.0,0.7816492450638792,0.7740923652517222,0.7712463133557912
lda,23.0,0.7567221510883483,0.696748847965528,0.7442363835117114
log_reg,24.0,0.6196319018404908,0.6351692270720029,0.6192468366657008
rf,24.0,0.5987730061349693,0.6115999203212121,0.5984195402298851
lda,24.0,0.7333333333333333,0.7010211661065799,0.7326636374435733
log_reg,25.0,0.7160194174757282,0.699089790897909,0.7145507929832994
rf,25.0,0.6941747572815534,0.6746635134963597,0.6929410738546566
lda,25.0,0.75,0.7170368084440271,0.7470223449818846
log_reg,26.0,0.8471910112359551,0.8382238622504476,0.8382300995565602
rf,26.0,0.851685393258427,0.8371842009838029,0.8422168975273052
lda,26.0,0.8049382716049382,0.7558806302832628,0.7901482960272886
log_reg,27.0,0.6926286509040334,0.5775353122219002,0.5797850211074318
rf,27.0,0.6759388038942976,0.5565733301804793,0.5820704190353377
lda,27.0,0.7668231611893583,0.6854324608069775,0.6828474469174538
log_reg,28.0,0.6239316239316239,0.6101792364990689,0.6270384729708216
rf,28.0,0.6385836385836385,0.6244425295641143,0.6398092110772561
lda,28.0,0.8322056833558863,0.8288328229902349,0.8303848218038792
log_reg,29.0,0.8002136752136753,0.7798260500825926,0.7838848023801377
rf,29.0,0.8034188034188035,0.7878159709516357,0.7927922390416882
lda,29.0,0.7920560747663551,0.7808063762418673,0.7788269116291415
log_reg,30.0,0.7569193742478941,0.7562683436938322,0.7547625311094359
rf,30.0,0.7412755716004813,0.7180070566492117,0.740324900607739
lda,30.0,0.7536617842876165,0.720467189086744,0.7472370658246296
log_reg,31.0,0.7074910820451843,0.7057697642144062,0.7056853711686958
rf,31.0,0.8097502972651606,0.8121178031614168,0.8082601023260221
lda,31.0,0.8607095926412615,0.8591722005672728,0.8601022588522588
log_reg,32.0,0.6407185628742516,0.6536884895221069,0.6405955339882432
rf,32.0,0.6934131736526946,0.691476766934936,0.6951923835623091
lda,32.0,0.6913907284768211,0.6617893838154082,0.6944523570979713
